alt,ma,power,fuelFlow,TET,SFC,eff,P3,T3
0,0,100040,0.019841,770.84,198.3243,0.116924,4.5626,475.26
0,0,200070,0.026996,827.2,134.9315,0.171857,5.9385,509.95
0,0,300130,0.033389,874.14,111.2506,0.208439,6.9399,532.04
0,0,400090,0.039358,912.82,98.3724,0.235726,7.7759,548.45
0,0,500160,0.045214,949.57,90.3997,0.256516,8.5026,562.61
0,0,600210,0.05088,982.94,84.7697,0.273552,9.1504,574.52
0,0,700320,0.056427,1013.8,80.5735,0.287799,9.7511,585.22
0,0,800190,0.061897,1042.6,77.3523,0.299783,10.312,594.84
0,0,900380,0.067404,1071.4,74.8614,0.309758,10.837,604.18
0,0,1000300,0.072887,1099.3,72.8639,0.31825,11.329,612.73
0,0,1100200,0.078303,1125.4,71.1691,0.325829,11.805,620.79
0,0,1200400,0.0837,1150.4,69.7252,0.332576,12.264,628.36
0,0,1300600,0.089103,1174.7,68.5075,0.338488,12.706,635.5
0,0,1400600,0.09455,1198.7,67.5051,0.343514,13.136,642.47
0,0,1500500,0.099995,1221.8,66.6423,0.347961,13.558,649.19
0,0,1600400,0.1055,1244.5,65.9182,0.351783,13.976,655.8
0,0,1700800,0.11102,1267,65.278,0.355233,14.384,662.34
0,0,1800700,0.11654,1288.7,64.7218,0.358287,14.784,668.68
0,0,1899400,0.12206,1309.8,64.2613,0.360854,15.179,674.83
0,0.1,100040,0.019731,768.75,197.2297,0.117573,4.5675,475.42
0,0.1,200070,0.026894,825.7,134.4227,0.172508,5.9451,510.18
0,0.1,300050,0.033255,872.54,110.8297,0.20923,6.9444,532.19
0,0.1,400040,0.039228,911.29,98.0591,0.236479,7.784,548.61
0,0.1,500030,0.045058,947.96,90.1115,0.257336,8.5076,562.71
0,0.1,600040,0.050736,981.4,84.5551,0.274247,9.1597,574.67
0,0.1,700020,0.056247,1012,80.3507,0.288597,9.7569,585.27
0,0.1,800010,0.061712,1040.9,77.1391,0.300612,10.318,594.89
0,0.1,900010,0.067226,1069.6,74.6944,0.310451,10.849,604.22
0,0.1,1000000,0.072669,1097.2,72.6682,0.319107,11.337,612.68
0,0.1,1100000,0.078079,1123.3,70.9808,0.326693,11.813,620.74
0,0.1,1200000,0.083509,1148.6,69.5905,0.33322,12.277,628.38
0,0.1,1300000,0.088865,1172.6,68.3574,0.339231,12.716,635.45
0,0.1,1400000,0.094291,1196.4,67.3504,0.344303,13.145,642.37
0,0.1,1500000,0.099776,1219.8,66.5171,0.348616,13.573,649.16
0,0.1,1600000,0.10526,1242.3,65.7895,0.352472,13.992,655.72
0,0.1,1700000,0.11073,1264.5,65.1372,0.356001,14.395,662.16
0,0.1,1800000,0.11624,1286.2,64.5803,0.359071,14.796,668.49
0,0.1,1900000,0.12175,1307.3,64.0816,0.361866,15.19,674.64
0,0.2,100040,0.019399,762.43,193.9071,0.119588,4.5824,475.9
0,0.2,200030,0.026507,820.28,132.5144,0.174992,5.9565,510.64
0,0.2,300020,0.032846,867.67,109.4791,0.211812,6.9585,532.64
0,0.2,400010,0.038772,906.38,96.9276,0.23924,7.7954,548.96
0,0.2,500000,0.04459,943.11,89.1786,0.260028,8.5229,563.03
0,0.2,600000,0.050211,976.29,83.6852,0.277097,9.173,574.89
0,0.2,700000,0.055706,1006.8,79.5794,0.291394,9.7745,585.42
0,0.2,800000,0.061152,1035.7,76.4399,0.303362,10.336,595.04
0,0.2,900000,0.06656,1063.4,73.9558,0.313551,10.866,604.02
0,0.2,1000000,0.072013,1091.1,72.0125,0.322012,11.36,612.53
0,0.2,1100000,0.077404,1117.2,70.3669,0.329543,11.837,620.58
0,0.2,1200000,0.082774,1142.2,68.9787,0.336175,12.296,628.1
0,0.2,1300000,0.08814,1166.2,67.7998,0.342021,12.741,635.21
0,0.2,1400000,0.093509,1189.6,66.7919,0.347182,13.174,642.05
0,0.2,1500000,0.098931,1212.7,65.954,0.351593,13.597,648.75
0,0.2,1600000,0.10439,1235.1,65.2446,0.355415,14.017,655.26
0,0.2,1700000,0.10986,1257.1,64.6258,0.358818,14.428,661.65
0,0.2,1800000,0.11535,1278.7,64.0842,0.361851,14.829,667.95
0,0.2,1900000,0.12084,1299.7,63.6008,0.364601,15.225,674.07
0,0.2,2000000,0.1264,1320.3,63.1977,0.366927,15.62,680.09
0,0.3,100040,0.018853,751.77,188.4495,0.123051,4.608,476.67
0,0.3,200030,0.025939,812.26,129.678,0.178819,5.9785,511.52
0,0.3,300020,0.032195,859.63,107.3074,0.216098,6.9809,533.35
0,0.3,400010,0.038064,898.94,95.159,0.243686,7.8183,549.77
0,0.3,500000,0.043791,934.92,87.5802,0.264774,8.5491,563.54
0,0.3,600000,0.04938,968.18,82.3003,0.28176,9.201,575.41
0,0.3,700000,0.054804,998.25,78.2917,0.296186,9.8035,585.78
0,0.3,800000,0.060216,1027.1,75.2696,0.308078,10.367,595.29
0,0.3,900000,0.06554,1054,72.8219,0.318433,10.9,604.03
0,0.3,1000000,0.070917,1081,70.9173,0.326985,11.397,612.33
0,0.3,1100000,0.076273,1107,69.3389,0.334429,11.877,620.33
0,0.3,1200000,0.081615,1131.9,68.0126,0.340951,12.337,627.81
0,0.3,1300000,0.086945,1155.9,66.8807,0.346721,12.783,634.88
0,0.3,1400000,0.092241,1178.8,65.8865,0.351953,13.219,641.66
0,0.3,1500000,0.097594,1201.3,65.0629,0.356408,13.646,648.23
0,0.3,1600000,0.10302,1223.7,64.3906,0.360129,14.067,654.72
0,0.3,1700000,0.10844,1245.2,63.7892,0.363524,14.48,660.97
0,0.3,1800000,0.11386,1266.3,63.2556,0.366591,14.885,667.09
0,0.3,1900000,0.11932,1287.2,62.7979,0.369263,15.283,673.17
0,0.3,2000000,0.12484,1307.7,62.421,0.371493,15.679,679.15
0,0.4,100040,0.018157,736.57,181.4904,0.12777,4.6455,477.7
0,0.4,200010,0.02509,800.45,125.4418,0.184858,6.0111,512.69
0,0.4,300020,0.031284,848.49,104.2738,0.222385,7.0132,534.4
0,0.4,400010,0.037054,888.38,92.6341,0.250328,7.8512,550.87
0,0.4,500000,0.042654,923.28,85.3071,0.271829,8.5868,564.23
0,0.4,600000,0.04821,956.89,80.3489,0.288603,9.2402,576.14
0,0.4,700000,0.053598,987.12,76.5691,0.30285,9.8446,586.5
0,0.4,800000,0.058892,1015,73.6146,0.315004,10.411,595.69
0,0.4,900000,0.064173,1041.9,71.3032,0.325216,10.945,604.36
