tag,time,alt,range,V,Vz,LD,pDOH,eff_p
takeoff,13.916,0,0,53.495,0,6.154,0,0.64
climbout,3.933,30,0,63.222,7.629,10.5,0,0.8
climbout,3.932,60,0,63.222,7.63,10.5,0,0.8
climbout,3.932,90,0,63.222,7.63,10.5,0,0.8
climbout,3.932,120,0,63.222,7.631,10.5,0,0.8
climbout,3.931,150,0,63.222,7.632,10.5,0,0.8
climbout,3.931,180,0,63.222,7.619,10.5,0,0.8
climbout,3.938,210,0,63.222,7.601,10.5,0,0.8
climbout,3.946,240,0,63.222,7.583,10.5,0,0.8
climbout,3.957,270,0,63.222,7.564,10.5,0,0.8
climb,3.966,300,0,63.222,7.546,10.5,0,0.8
climb,34.119,544,2821.404,83.34,7.017,16,0,0.73
climb,34.773,788,2876.205,83.34,6.883,16,0,0.73
climb,35.45,1032,2933.149,83.34,6.749,16,0,0.73
climb,36.156,1276,2992.366,83.34,6.614,16,0,0.73
climb,36.891,1520,3053.996,83.34,6.48,16,0,0.73
climb,37.655,1764,3118.189,83.34,6.345,16,0,0.73
climb,38.454,2008,3185.112,83.34,6.211,16,0,0.73
climb,39.287,2252,3254.941,83.34,6.076,16,0,0.73
climb,40.157,2496,3327.873,83.34,5.942,16,0,0.73
climb,41.067,2740,3404.118,83.34,5.807,16,0,0.73
climb,42.019,2984,3483.91,83.34,5.672,16,0,0.73
climb,43.017,3228,3567.503,83.34,5.537,16,0,0.73
climb,44.064,3472,3655.177,83.34,5.403,16,0,0.73
climb,45.164,3716,3747.238,83.34,5.268,16,0,0.73
climb,46.32,3960,3844.026,83.34,5.133,16,0,0.73
climb,47.538,4204,3945.916,83.34,4.998,16,0,0.73
climb,48.822,4448,4053.323,83.34,4.863,16,0,0.73
climb,50.177,4692,4166.709,83.34,4.728,16,0,0.73
climb,51.611,4936,4286.59,83.34,4.593,16,0,0.73
climb,53.128,5180,4413.539,83.34,4.457,16,0,0.73
climb,54.74,5424,4548.205,83.34,4.322,16,0,0.73
climb,56.452,5668,4691.31,83.34,4.187,16,0,0.73
