tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,17568.179465820533,0.0,0.0,0.0,0.0,11550,5000,0.0,0.0,0.0
takeoff,13.916,0,0.0,53.495,0.0,6.154,0,0.64,17566.188475401963,1.9909904185694807,0.0,0.02745301161224574,0.0011338410792272485,11550,5000,0.23676700000292508,1498136.781075905,6327472.920877473
climbout,3.933,30,0.0,63.222,7.629,10.5,0,0.8,17565.544771230605,0.6437041713576864,0.0,0.010709773353856823,0.00022974627916986398,11550,5000,0.3045873723063891,2352251.4348398335,7722747.719408629
climbout,3.932,60,0.0,63.222,7.63,10.5,0,0.8,17564.901222569933,0.6435486606732902,0.0,0.010707305239844134,0.00022944422248725378,11550,5000,0.30469095549362796,2352337.555759312,7720404.932756552
climbout,3.932,90,0.0,63.222,7.63,10.5,0,0.8,17564.25769269623,0.6435298737042873,0.0,0.01070650876423598,0.0002292344832373734,11550,5000,0.30479127009178403,2352251.373195482,7717581.1908495
climbout,3.932,120,0.0,63.222,7.631,10.5,0,0.8,17563.614157187018,0.6435355092090596,0.0,0.010706662816505947,0.00022899105578892142,11550,5000,0.3048924279154249,2352337.498515525,7715303.113949577
climbout,3.931,150,0.0,63.222,7.632,10.5,0,0.8,17562.970780945732,0.6433762412843707,0.0,0.010704044370769022,0.00022868949047339418,11550,5000,0.3049923712508494,2352423.610454707,7713057.2178144455
climbout,3.931,180,0.0,63.222,7.619,10.5,0,0.8,17562.327761907203,0.6430190385299744,0.0,0.01069006433006845,0.00022892462143567883,11550,5000,0.3050625427482018,2350097.632694151,7703658.441718024
climbout,3.938,210,0.0,63.222,7.601,10.5,0,0.8,17561.68408701563,0.6436748915726282,0.0,0.01068999657882602,0.0002297425785118205,11550,5000,0.3051213401933351,2346910.4346080925,7691728.258407004
climbout,3.946,240,0.0,63.222,7.583,10.5,0,0.8,17561.039597314564,0.6444897010677364,0.0,0.010692487736298674,0.00023062463258047286,11550,5000,0.30517896848510095,2343723.376082694,7679832.551099
climbout,3.957,270,0.0,63.222,7.564,10.5,0,0.8,17560.39383395997,0.6457633545928161,0.0,0.010701918449586439,0.00023172297502870024,11550,5000,0.305233376356801,2340364.162481211,7667458.226276849
climb,3.966,300,0.0,63.222,7.546,10.5,0,0.8,17559.74710258387,0.6467313760987279,0.0,0.01070676648490506,0.0002326761262748164,11550,5000,0.3052886667499332,2337177.28709338,7655630.692009274
climb,34.119,544,2821.404,83.34,7.017,16.0,0,0.73,17554.2342657158,5.512836868069581,0.0,0.09075091178222174,0.002005775208251535,11550,5000,0.2807993063064486,2106021.376547659,7500094.655680044
climb,34.773,788,2876.205,83.34,6.883,16.0,0,0.73,17548.655126434267,5.579139281532397,0.0,0.0909783064544074,0.0020799411118272255,11550,5000,0.28111141815582835,2082284.4535100213,7407327.909945478
climb,35.45,1032,2933.149,83.34,6.749,16.0,0,0.73,17543.00933159015,5.64579484411662,0.0,0.09115296684483146,0.002159825700845416,11550,5000,0.28135759503844465,2058554.246521951,7316504.984486629
climb,36.156,1276,2992.366,83.34,6.614,16.0,0,0.73,17537.29601497601,5.713316614140533,0.0,0.0912764168909781,0.002246422683895868,11550,5000,0.28153698838659297,2034658.8791713137,7226968.260303399
climb,36.891,1520,3053.996,83.34,6.48,16.0,0,0.73,17531.51385511358,5.782159862432901,0.0,0.09136872820597002,0.0023391309294214435,11550,5000,0.28165486229119446,2010942.764879449,7139740.988388818
climb,37.655,1764,3118.189,83.34,6.345,16.0,0,0.73,17525.66216905272,5.851686060858567,0.0,0.09140908378329479,0.002438833468893045,11550,5000,0.281707164045947,1987061.8836765168,7053643.418711294
climb,38.454,2008,3185.112,83.34,6.211,16.0,0,0.73,17519.738712968887,5.923456083833723,0.0,0.09143820922882126,0.00254506952742808,11550,5000,0.2816976805979089,1963360.4562449409,6969743.066672291
climb,39.287,2252,3254.941,83.34,6.076,16.0,0,0.73,17513.741999116544,5.9967138523426256,0.0,0.09143462068865174,0.0026585949551525185,11550,5000,0.28162072523070364,1939494.598837933,6886902.933898418
climb,40.157,2496,3327.873,83.34,5.942,16.0,0,0.73,17507.669302128328,6.072696988217245,0.0,0.09143612920874734,0.002778549426652877,11550,5000,0.2814779257438713,1915808.2278331248,6806246.787452881
climb,41.067,2740,3404.118,83.34,5.807,16.0,0,0.73,17501.518034006287,6.151268122041549,0.0,0.09143091058181678,0.0029059449609259774,11550,5000,0.28126157709163385,1891957.6606073666,6726683.680618681
climb,42.019,2984,3483.91,83.34,5.672,16.0,0,0.73,17495.284808958004,6.233225048284306,0.0,0.09144336336920089,0.0030402435751647433,11550,5000,0.2809688508033821,1868114.7914389216,6648832.374469159
climb,43.017,3228,3567.503,83.34,5.537,16.0,0,0.73,17488.96547972756,6.319329230443908,0.0,0.0914898532987525,0.0031815095975346293,11550,5000,0.2805936995380651,1844279.5755787913,6572776.147914176
climb,44.064,3472,3655.177,83.34,5.403,16.0,0,0.73,17482.554839138073,6.410640589489498,0.0,0.09159924035188081,0.003329134506849455,11550,5000,0.2801307063825146,1820623.4737033849,6499192.813291053
climb,45.164,3716,3747.238,83.34,5.268,16.0,0,0.73,17476.04776952814,6.507069609933156,0.0,0.09175801105952983,0.0034843434731325396,11550,5000,0.27956873089137,1796803.0963913195,6427053.163858622
climb,46.32,3960,3844.026,83.34,5.133,16.0,0,0.73,17469.43810661918,6.609662908957084,0.0,0.09199381377285548,0.003646556235288463,11550,5000,0.27890136278306454,1772989.9159712782,6357050.027576766
climb,47.538,4204,3945.916,83.34,4.998,16.0,0,0.73,17462.718636348414,6.719470270765946,0.0,0.09232525031282288,0.003816010117971993,11550,5000,0.2781204792804314,1749183.6983423536,6289302.04229454
climb,48.822,4448,4053.323,83.34,4.863,16.0,0,0.73,17455.881394273754,6.837242074660677,0.0,0.09276605553514272,0.003992807120130803,11550,5000,0.2772183534681452,1725384.1383355497,6223917.416542232
climb,50.177,4692,4166.709,83.34,4.728,16.0,0,0.73,17448.9175388091,6.963855464656972,0.0,0.09333103685389142,0.004177151243199376,11550,5000,0.27618802740151766,1701590.895851033,6160987.179133901
climb,51.611,4936,4286.59,83.34,4.593,16.0,0,0.73,17441.816961028715,7.100577780384108,0.0,0.09403939678500242,0.004369529910614513,11550,5000,0.27502372161139227,1677803.5886378768,6100577.720377911
climb,53.128,5180,4413.539,83.34,4.457,16.0,0,0.73,17434.569461298204,7.247499730512101,0.0,0.09488320118503836,0.004570931580464437,11550,5000,0.27372021970998667,1653850.656875331,6042120.887626155
